City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,nelson bay,-32.7167,152.15,285.37,59,44,4.47,AU,1689888069
132,flin flon,54.7682,-101.865,300.06,39,75,2.06,CA,1689888069
133,alice springs,-23.7,133.8833,281.9,76,0,3.6,AU,1689887955
134,yershov,51.3513,48.2766,288.66,71,2,3.51,RU,1689888070
135,tralee,52.2704,-9.7026,284.91,87,27,3.11,IE,1689888070
136,jayapura,-2.5333,140.7,296.81,90,100,1.31,ID,1689887996
137,ushibukamachi,32.1906,130.0228,298.98,87,100,1.77,JP,1689888071
138,pimenta bueno,-11.6725,-61.1936,306.77,27,0,1.29,BR,1689888071
139,ulladulla,-35.35,150.4667,283.82,70,34,3.12,AU,1689888072
140,anzio,41.4853,12.6179,301.54,86,0,0.77,IT,1689888072
141,naze,28.3667,129.4833,297.66,85,100,3.37,JP,1689888072
142,mozarlandia,-14.7447,-50.5706,303.05,22,73,3.12,BR,1689888073
143,kolonia,50.9333,6.95,292.57,72,0,2.57,DE,1689888073
144,kodiak,57.79,-152.4072,285.88,94,0,2.06,US,1689888074
145,touros,-5.1989,-35.4608,298.28,69,18,8.02,BR,1689888074
146,les avirons,-21.2418,55.3394,292.81,73,0,2.57,RE,1689888074
147,st. john's,47.5649,-52.7093,300.81,67,40,7.72,CA,1689888047
148,talnakh,69.4865,88.3972,289.38,97,56,3.02,RU,1689888075
149,medicine hat,50.0501,-110.6683,302.71,27,20,0.89,CA,1689888076
150,stanley,54.868,-1.6985,285.4,91,86,3.42,GB,1689888076
151,inderbor,48.55,51.7833,297.22,34,79,4.28,KZ,1689888076
152,buala,-8.145,159.5921,300.34,86,80,1.33,SB,1689888077
153,papatowai,-46.5619,169.4708,278.58,71,8,8.54,NZ,1689888077
154,sayat,38.7839,63.8803,299.08,21,0,4.64,TM,1689888077
155,mount isa,-20.7333,139.5,291.02,55,40,4.12,AU,1689888078
156,island harbour,50.724,-1.2758,290.92,70,80,2.24,GB,1689888078
157,minas de marcona,-15.2119,-75.1103,290.55,63,7,3.93,PE,1689888079
158,vilyuchinsk,52.9306,158.4028,286.3,95,100,0.72,RU,1689888079
159,plettenberg bay,-34.0527,23.3716,282.56,72,0,4.35,ZA,1689888080
160,fisterra,42.9049,-9.2629,292.45,85,0,2.37,ES,1689888080
161,maralal,1.0968,36.698,290.01,74,98,0.86,KE,1689888080
162,manokwari,-0.8667,134.0833,298.71,80,14,2.1,ID,1689888081
163,khovd,48.0056,91.6419,295.22,38,100,7.3,MN,1689888081
164,queenstown,-31.8976,26.8753,276.89,81,100,4.85,ZA,1689888082
165,mount pearl,47.5166,-52.7813,300.34,68,40,7.72,CA,1689888082
166,funafuti,-8.5243,179.1942,304.15,79,75,0.51,TV,1689888083
167,carnarvon,-24.8667,113.6333,285.85,47,1,8.17,AU,1689888083
168,pangai,-19.8,-174.35,297.8,85,98,13.51,TO,1689888083
169,khandyga,62.6667,135.6,289.76,95,100,1.26,RU,1689888084
170,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,100,1.0,RU,1689888084
171,montevideo,-34.8335,-56.1674,287.16,82,40,4.63,UY,1689887944
172,intendente alvear,-35.2338,-63.592,288.21,48,98,5.0,AR,1689888085
173,jwaneng,-24.6004,24.7303,285.4,67,8,9.22,BW,1689888085
174,coruche,38.9595,-8.5252,293.37,81,0,4.51,PT,1689888086
175,robertsport,6.7533,-11.3686,298.62,88,100,5.4,LR,1689888086
176,hilo,19.7297,-155.09,299.4,88,100,2.57,US,1689888087
177,smithers,54.7804,-127.1743,303.33,30,40,5.14,CA,1689888087
178,balqash,46.8481,74.995,298.28,35,0,3.77,KZ,1689888087
179,north battleford,52.7834,-108.2847,298.37,53,20,3.09,CA,1689888088
180,praia da vitoria,38.7333,-27.0667,295.29,94,20,2.41,PT,1689888088
181,kurchatov,51.6601,35.6521,288.38,69,77,3.62,RU,1689888089
182,laguna,38.421,-121.4238,312.69,26,0,4.12,US,1689888089
183,haiku-pauwela,20.9219,-156.3051,301.62,69,75,7.72,US,1689888090
184,newman,37.3138,-121.0208,310.34,9,0,0.97,US,1689888090
185,esteli,13.0919,-86.3538,302.01,59,27,6.08,NI,1689888091
186,macapa,0.0389,-51.0664,300.14,83,75,7.72,BR,1689888091
187,guilin,25.2819,110.2864,298.21,93,89,0.64,CN,1689888008
188,sao vicente,-23.9631,-46.3919,294.81,54,75,1.54,BR,1689888092
189,minna,9.6139,6.5569,297.78,86,78,1.5,NG,1689888093
190,linxia chengguanzhen,35.6003,103.2064,286.53,68,3,1.93,CN,1689888093
191,pisco,-13.7,-76.2167,294.18,73,0,5.14,PE,1689888094
192,saint-philippe,-21.3585,55.7679,293.92,81,29,2.56,RE,1689888095
193,noshiro,40.2039,140.0242,294.08,90,8,1.44,JP,1689888095
194,pahrump,36.2083,-115.9839,315.28,14,2,2.24,US,1689888095
195,lihue,21.9789,-159.3672,302.92,68,40,7.72,US,1689888096
196,hilvan,37.5869,38.9551,303.64,30,0,5.14,TR,1689888096
197,kudahuvadhoo,2.6708,72.8944,301.48,73,98,3.27,MV,1689888096
198,aykhal,66.0,111.5,287.09,89,100,5.92,RU,1689888097
199,muynoq,43.7683,59.0214,300.25,34,17,3.25,UZ,1689888097
200,heunghae,36.1125,129.3522,295.71,91,0,0.2,KR,1689888097
201,lompoc,34.6391,-120.4579,308.16,72,40,4.12,US,1689887799
202,alaghsas,17.0187,8.0168,307.29,30,41,4.18,NE,1689888098
203,sona,45.4388,10.8255,299.9,73,40,1.54,IT,1689888098
204,uturoa,-16.7333,-151.4333,297.71,64,12,7.93,PF,1689888099
205,baotou,40.6522,109.8222,292.05,73,58,3.15,CN,1689888099
206,saint-francois,46.4154,3.9054,293.84,60,0,0.0,FR,1689888099
207,lae,-6.7221,146.9847,296.23,87,85,2.69,PG,1689888100
208,baruun-urt,46.6806,113.2792,287.66,84,100,5.99,MN,1689888100
209,walvis bay,-22.9575,14.5053,284.68,82,0,1.03,NA,1689888101
210,mahdia,35.5047,11.0622,303.12,67,0,2.97,TN,1689888101
211,port lincoln,-34.7333,135.8667,284.06,71,35,3.07,AU,1689888101
212,kalix,65.853,23.1565,285.32,86,100,5.04,SE,1689888102
213,nalut,30.3333,10.85,306.27,12,0,4.83,LY,1689888103
214,constantia,44.1833,28.65,294.65,83,87,3.26,RO,1689887815
215,takoradi,4.8845,-1.7554,297.78,89,9,3.31,GH,1689888104
216,aasiaat,68.7098,-52.8699,277.72,95,97,5.0,GL,1689888104
217,mejit,10.2753,170.8646,301.47,81,91,8.23,MH,1689888076
218,namibe,-15.1961,12.1522,291.81,76,94,1.32,AO,1689888105
219,aksu,41.1231,80.2644,301.96,26,87,4.06,CN,1689888105
220,pemangkat,1.1667,108.9667,298.5,86,100,3.09,ID,1689888105
221,panguipulli,-39.6333,-72.3333,284.01,97,100,1.85,CL,1689887838
222,dennery,13.8996,-60.8879,304.22,82,20,6.17,LC,1689888106
223,cradock,-32.1642,25.6192,278.51,73,100,5.58,ZA,1689888106
224,argo,37.6333,22.7333,303.59,38,1,1.22,GR,1689888107
225,margate,51.3813,1.3862,289.19,89,94,0.89,GB,1689888107
226,paramonga,-10.6667,-77.8333,294.59,72,14,4.26,PE,1689888107
227,nevinnomyssk,44.6267,41.9453,291.81,60,0,2.43,RU,1689888108
228,susuman,62.7833,148.1667,294.56,57,9,2.31,RU,1689888108
229,cabo san lucas,22.8909,-109.9124,310.71,46,0,5.66,MX,1689887902
230,ola,59.5833,151.2833,288.3,80,17,1.53,RU,1689888109
231,wellington,-41.2866,174.7756,282.96,72,20,9.77,NZ,1689888044
232,jeju city,33.5097,126.5219,297.11,88,0,1.03,KR,1689888109
233,al mijlad,11.0333,27.7333,301.27,61,16,2.21,SD,1689888110
234,punta de bombon,-17.1717,-71.7931,290.99,76,39,2.56,PE,1689888110
235,kindu,-2.95,25.95,297.91,63,89,1.41,CD,1689888111
236,mountain home,43.133,-115.6912,309.86,15,20,4.47,US,1689887852
237,pacocha,-17.5833,-71.3333,290.23,82,100,2.06,PE,1689888112
238,chilliwack,49.1747,-121.9443,306.13,40,6,3.58,CA,1689888112
239,badger,64.8,-147.5333,291.77,89,100,2.06,US,1689887842
240,santo antonio,-6.3106,-35.4789,296.14,74,39,5.7,BR,1689888113
